N,212250_COXS,212260_KOWMUNG
1202,65.376,52.836
1203,57.08,58.6
1204,53.923,60.967
1205,53.033,54.757
1206,52.251,52.321
1207,52.063,52.59
1208,51.625,52.758
1209,49.952,51.966
1210,48.667,50.422
1211,50.551,50.238
1212,59.516,50.245
1213,65.852,56.933
1214,80.974,76.321
1215,80.161,81.326
1216,74.246,80.303
1217,68.521,75.719
1218,64.562,66.848
1219,61.965,64.832
1220,59.582,58.958
1221,57.253,55.846
1222,190.298,244.4
1223,176.541,218.093
1224,168.749,195.897
1225,159.622,183.795
1226,151.326,173.318
1227,143.884,165.752
1228,137.307,158.188
1229,141.679,159.879
1230,138.066,165.303
1231,124.785,105.398
1232,145.644,167.504
1233,141.657,208.389
1234,139.47,196.212
1235,134.542,180.176
1236,130.743,168.866
1237,124.526,160.07
1238,118.238,149.211
1239,114.386,140.17
1240,110.699,138.196
1241,109.358,136.898
1242,110.459,140.014
1243,107.223,150.38
1244,101.559,151.793
1245,96.993,149.263
1246,93.811,146.417
1247,91.049,140.111
1248,89.528,140.862
1249,87.572,134.856
1250,84.821,135.057
1251,83.285,131.827
1252,81.897,131.084
1253,82.494,136.46
1254,85.212,141.516
1255,83.029,138.551
1256,80.242,144.861
1257,79.093,141.652
1258,75.994,132.794
1259,74.665,121.106
1260,73.306,113.899
1261,71.388,108.736
1262,69.296,100.287
1263,67.214,97.064
1264,64.828,89.598
1265,64.105,86.915
1266,72.888,86.439
1267,78.752,84.181
1268,66.013,95.761
1269,58.674,81.256
1270,56.725,71.715
1271,56.051,67.874
1272,57.334,65.866
1273,60.771,67.249
1274,83.016,73.679
1275,129.491,280.067
1276,112.753,258.245
1277,104.683,203.384
1278,104.638,173.936
1279,92.871,157.727
1280,84.017,147.476
1281,78.088,136.976
1282,74.161,129.241
1283,74.317,127.884
1284,254.838,196.772
1285,462.579,1045.204
1286,430.396,889.026
1287,331.389,621.238
1288,258.884,477.31
1289,217.719,385.065
1290,190.186,321.378
1291,169.896,279.635
1292,156.545,252.839
1293,147.474,236.522
1294,50.131,65.388
1295,49.001,65.063
1296,46.601,65.073
1297,46.77,65.411
1298,61.022,67.83
1299,85.883,79.047
1300,82.907,131.14
1301,77.302,124.048
1302,76.483,111.416
1303,97.527,120.167
1304,97.416,131.819
1305,85.202,123.876
1306,89.794,106.469
1307,83.322,95.035
1308,72.775,88.112
1309,66.569,85.238
1310,61.646,82.28
1311,57.858,78.949
1312,54.109,74.425
1313,53.471,71.547
1314,53.459,68.602
1315,54.085,65.243
1316,57.452,69.049
1317,34.394,51.355
1318,34.614,55.243
1319,36.072,56.745
1320,35.669,69.504
1321,32.918,65.566
1322,29.836,59.018
1323,27.504,54.177
1324,25.408,50.157
1325,23.959,45.221
1326,23.48,41.78
1327,28.406,52.675
1328,40.126,49.956
1329,32.228,48.825
1330,27.205,46.287
1331,25.909,43.6
1332,25.453,38.495
1333,25.684,34.864
1334,27.711,36.974
1335,36.838,36.049
1336,38.919,36.756
1337,32.809,38.355
1338,39.913,41.701
1339,92.542,69.261
1340,528.748,358.671
1341,735.799,373.569
1342,619.858,269.085
1343,456.443,226.244
1344,357.346,195.837
1345,276.712,162.617
1346,226.085,134.842
1347,187.415,112.435
